   ,0,1,2,3,4
"('INTROSPECTION', 'ECSTASY')",elation,jubilation,exultation,glee,felicity
"('INTROSPECTION', 'JOY')",happiness,cheerfulness,joviality,gaiety,high-spiritedness
"('INTROSPECTION', 'CONTENTMENT')",satisfaction,gratification,fulfilment,light-heartedness,frivolity
"('INTROSPECTION', 'PENSIVENESS')",pensiveness,abandonment,emptiness,down-heartedness,nostalgia
"('INTROSPECTION', 'UNHAPPINESS')",unhappiness,sorrow,dejection,heavy-heartedness,low-spiritedness
"('INTROSPECTION', 'DESPERATION')",desperation,gloom,depression,broken-heartedness,woe
"('TEMPER', 'BLISS')",placidity,peacefulness,beatitude,gladness,relief
"('TEMPER', 'CALMNESS')",tranquillity,equanimity,composure,restfulness,soothingness
"('TEMPER', 'SERENITY')",quietude,comfort,ease,imperturbability,carefreeness
"('TEMPER', 'DISQUIETUDE')",disquietude,discomfort,unease,perturbability,frustration
"('TEMPER', 'VEXATION')",vexation,exasperation,aggressiveness,madness,acrimoniousness
"('TEMPER', 'FURY')",fury,wrath,ferocity,enragement,vengeance
"('ATTITUDE', 'DELIGHT')",admiration,adoration,glorification,devotion,enthrallment
"('ATTITUDE', 'PLEASANTNESS')",appreciation,fondness,predilection,respect,trust
"('ATTITUDE', 'ACCEPTANCE')",approval,favorability,propensity,belief,worthiness
"('ATTITUDE', 'DISAPPROVAL')",disapproval,distaste,rejection,disbelief,worthlessness
"('ATTITUDE', 'DISAPPOINTMENT')",disappointment,detestation,disdain,disrespect,distrust
"('ATTITUDE', 'CONTEMPT')",contempt,revulsion,scorn,repugnance,abhorrence
"('SENSITIVITY', 'ENTHUSIASM')",zeal,zest,passion,avidity,fervor
"('SENSITIVITY', 'EAGERNESS')",keenness,willingness,motivation,inspiration,dedication
"('SENSITIVITY', 'RESPONSIVENESS')",decisiveness,receptiveness,agreeableness,approachableness,amenability
"('SENSITIVITY', 'INDECISIVENESS')",indecisiveness,apprehension,helplessness,agitation,discouragement
"('SENSITIVITY', 'FRIGHT')",fright,dread,trepidation,angst,scare
"('SENSITIVITY', 'HORROR')",horror,panic,appalment,petrification,aghastness
