title,speaker,initial speech,initial sentiment,initial POLARITY
The Second Part of Henry the Sixth,SUFFOLK,"As by your high imperial majesty I had in charge at my depart for France, As procurator to your excellence, To marry Princess Margaret for your grace, So, in the famous ancient city, Tours, In presence of the Kings of France and Sicil, The Dukes of Orleans, Calaber, Bretagne and Alencon, Seven earls, twelve barons and twenty reverend bishops, I have perform'd my task and was espoused: And humbly now upon my bended knee, In sight of England and her lordly peers, Deliver up my title in the queen To your most gracious hands, that are the substance Of that great shadow I did represent; The happiest gift that ever marquess gave, The fairest queen that ever king received.","[ 0.          0.2765      0.          0.          0.          0.934
  0.          0.          0.          0.          0.          0.659
  0.          0.          0.          0.          0.         -0.02741667
  0.          0.          0.         -0.1515      0.262       0.
  0.          0.913       0.          0.56       -0.8765      0.
  0.          0.          0.          0.          0.          0.
  0.          0.         -0.159       0.         -0.228       0.
  0.842       0.         -0.965       0.          0.          0.
 -0.21071429  0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.2675      0.        ]",0.42447619047619045
The Second Part of Henry the Sixth,KING HENRY VI,"Suffolk, arise. Welcome, Queen Margaret: I can express no kinder sign of love Than this kind kiss. O Lord, that lends me life, Lend me a heart replete with thankfulness! For thou hast given me in this beauteous face A world of earthly blessings to my soul, If sympathy of love unite our thoughts.","[ 0.     0.329  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.659  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.899 -0.507  0.659  0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.551  0.881  0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.965  0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.25   0.   ]",0.6572380952380953
The Second Part of Henry the Sixth,QUEEN MARGARET,"Great King of England and my gracious lord, The mutual conference that my mind hath had, By day, by night, waking and in my dreams, In courtly company or at my beads, With you, mine alder-liefest sovereign, Makes me the bolder to salute my king With ruder terms, such as my wit affords And over-joy of heart doth minister.","[ 0.       0.       0.       0.       0.       0.9145   0.       0.
  0.       0.786    0.       0.659    0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.      -0.659
  0.       0.9442   0.       0.657    0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.
 -0.228    0.       0.9115   0.       0.       0.       0.       0.
 -0.3295   0.       0.       0.       0.       0.       0.       0.
  0.       0.       0.       0.       0.       0.       0.       0.25725
  0.     ]",0.48742857142857127
The Second Part of Henry the Sixth,ALL,happiness!,"[0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.659 0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.    0.
 0.    0.    0.    0.    0.   ]",0.659
The Second Part of Henry the Sixth,GLOUCESTER,"king Charles, and William de la Pole, Marquess of Suffolk, ambassador for Henry King of England, that the said Henry shall espouse the Lady Margaret, daughter unto Reignier King of Naples, Sicilia and Jerusalem, and crown her Queen of England ere the thirtieth of May next ensuing. Item, that the duchy of Anjou and the county of Maine shall be released and delivered to the king her father'--","[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -0.2678
  0.          0.          0.         -0.101       0.          0.
  0.          0.91088889  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.228       0.659
  0.858       0.          0.          0.          0.          0.
 -0.291       0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.25        0.        ]",0.388
The Second Part of Henry the Sixth,CARDINAL,"that the duchies of Anjou and Maine shall be released and delivered over to the king her father, and she sent over of the King of England's own proper cost and charges, without having any dowry.'","[-0.211       0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.         -0.236       0.          0.          0.
  0.          0.90583333  0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.228       0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.552
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.182       0.        ]",0.4607272727272727
The Second Part of Henry the Sixth,SALISBURY,"Now, by the death of Him that died for all, These counties were the keys of Normandy. But wherefore weeps Warwick, my valiant son?","[ 0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.     -0.3295
  0.      0.      0.      0.      0.      0.      0.      0.934   0.
  0.      0.      0.      0.      0.      0.     -0.492  -0.908   0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.612
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.    ]",-0.017000000000000015
The Second Part of Henry the Sixth,WARWICK,"For grief that they are past recovery: For, were there hope to conquer them again, My sword should shed hot blood, mine eyes no tears. Anjou and Maine! myself did win them both; Those provinces these arms of mine did conquer: And are the cities, that I got with wounds, Delivered up again with peaceful words? Mort Dieu!","[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.61
  0.          0.          0.          0.          0.         -0.31183333
  0.          0.          0.          0.          0.          0.
  0.          0.91871429  0.          0.         -0.846       0.
  0.          0.          0.          0.         -0.853       0.
  0.          0.          0.          0.          0.          0.
  0.934       0.         -0.89        0.          0.          0.
  0.          0.          0.          0.          0.999       0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.        ]",0.3246315789473684
The Second Part of Henry the Sixth,YORK,"For Suffolk's duke, may he be suffocate, That dims the honour of this warlike isle! France should have torn and rent my very heart, Before I would have yielded to this league. I never read but England's kings have had Large sums of gold and dowries with their wives: And our King Henry gives away his own, To match with her that brings no vantages.","[ 0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.521
  0.          0.          0.          0.          0.         -0.21575
  0.          0.          0.          0.          0.          0.
 -0.601       0.915       0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.         -0.228       0.
  0.866       0.         -0.9105      0.          0.          0.
  0.          0.          0.          0.          0.835       0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.24166667  0.        ]",0.27941176470588236
The Second Part of Henry the Sixth,BUCKINGHAM,"Why should he, then, protect our sovereign, He being of age to govern of himself? Cousin of Somerset, join you with me, And all together, with the Duke of Suffolk, We'll quickly hoise Duke Humphrey from his seat.","[ 0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.553   0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.8695  0.
  0.     -0.939   0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.548   0.      0.     -0.856
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.2085  0.    ]",0.180375
The Second Part of Henry the Sixth,SOMERSET,"Cousin of Buckingham, though Humphrey's pride And greatness of his place be grief to us, Yet let us watch the haughty cardinal: His insolence is more intolerable Than all the princes in the land beside: If Gloucester be displaced, he'll be protector.","[-0.39333333  0.          0.          0.          0.          0.9165
  0.          0.          0.          0.          0.          0.5915
  0.          0.          0.          0.          0.         -0.2
  0.          0.          0.          0.          0.         -0.458
  0.          0.          0.          0.         -0.939       0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.875       0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.265       0.        ]",0.02958333333333334
The Second Part of Henry the Sixth,DUCHESS,"Why droops my lord, like over-ripen'd corn, Hanging the head at Ceres' plenteous load? Why doth the great Duke Humphrey knit his brows, As frowning at the favours of the world? Why are thine eyes fixed to the sullen earth, Gazing on that which seems to dim thy sight? What seest thou there? King Henry's diadem, Enchased with all the honours of the world? If so, gaze on, and grovel on thy face, Until thy head be circled with the same. Put forth thy hand, reach at the glorious gold. What, is't too short? I'll lengthen it with mine: And, having both together heaved it up, We'll both together lift our heads to heaven, And never more abase our sight so low As to vouchsafe one glance unto the ground.","[-0.41        0.          0.          0.          0.          0.999
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.         -0.3105
  0.          0.          0.          0.          0.         -0.87
 -0.057       0.91946154  0.          0.654      -0.6835      0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.9215      0.         -0.995       0.277       0.          0.
 -0.329       0.          0.          0.          0.918       0.618
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.2805      0.        ]",0.2342790697674418
The Second Part of Henry the Sixth,Messenger,"My lord protector, 'tis his highness' pleasure You do prepare to ride unto Saint Alban's, Where as the king and queen do mean to hawk.","[ 0.          0.          0.          0.          0.          0.965
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.91125    -0.605       0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.          0.          0.
  0.          0.          0.          0.27233333  0.        ]",0.4801111111111111
The Second Part of Henry the Sixth,HUME,Jesus preserve your royal majesty!,"[0.     0.     0.     0.     0.     0.9115 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.547  0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.    ]",0.79
The Second Part of Henry the Sixth,First Petitioner,"My masters, let's stand close: my lord protector will come this way by and by, and then we may deliver our supplications in the quill.","[-0.838   0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.9335  0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.    ]",0.5044
The Second Part of Henry the Sixth,Second Petitioner,"Marry, the Lord protect him, for he's a good man! Jesu bless him!","[0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.659  0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.9345 0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.999  0.     0.     0.     0.     0.     0.     0.
 0.     0.     0.     0.176  0.    ]",0.6752
The Second Part of Henry the Sixth,PETER,"Here a' comes, methinks, and the queen with him. I'll be the first, sure.","[ 0.     0.329  0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.    -0.974  0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.     0.     0.     0.     0.     0.     0.
  0.     0.     0.     0.25   0.   ]",-0.09399999999999999
The Second Part of Henry the Sixth,HORNER,"An't shall please your majesty, I never said nor thought any such matter: God is my witness, I am falsely accused by the villain.","[-0.999   0.      0.      0.      0.      0.888   0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.     -0.207   0.      0.      0.      0.9045  0.
  0.     -0.483   0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.      0.     -0.651   0.      0.      0.      0.      0.
  0.      0.      0.      0.      0.      0.      0.      0.      0.
  0.      0.    ]",-0.01742857142857143
